WorkTimeInSeconds,Input.Hotel,Input.Question,Answer.Q1AnswerPart1
225,Sheraton Westport Chalet Saint Louis,Are the rooms of this hotel reasonably comfortable?,1
2,Sheraton Westport Chalet Saint Louis,Are the rooms of this hotel reasonably comfortable?,1
516,Sheraton Westport Chalet Saint Louis,Are the rooms of this hotel reasonably comfortable?,1
85,Sheraton Westport Chalet Saint Louis,Are the rooms of this hotel reasonably comfortable?,1
5,Sheraton Westport Chalet Saint Louis,Are the rooms of this hotel reasonably comfortable?,1
40,Sheraton Westport Chalet Saint Louis,Are the rooms of this hotel reasonably comfortable?,1
131,Sheraton Westport Chalet Saint Louis,Are the rooms of this hotel reasonably comfortable?,1
17,Sheraton Westport Chalet Saint Louis,Are the rooms of this hotel reasonably comfortable?,-1
15,Sheraton Westport Chalet Saint Louis,Are the rooms of this hotel reasonably comfortable?,1
36,Sheraton Westport Chalet Saint Louis,Are the rooms of this hotel reasonably comfortable?,1
22,Sheraton Westport Chalet Saint Louis,Are the rooms of this hotel reasonably comfortable?,1
15,Sheraton Westport Chalet Saint Louis,Are the rooms of this hotel reasonably comfortable?,1
28,Sheraton Westport Chalet Saint Louis,Are the rooms of this hotel reasonably comfortable?,1
13,Sheraton Westport Chalet Saint Louis,Are the rooms of this hotel reasonably comfortable?,1
87,Sheraton Westport Chalet Saint Louis,Are the rooms of this hotel reasonably comfortable?,1
85,Sheraton Westport Chalet Saint Louis,Are the rooms of this hotel reasonably comfortable?,1
28,Sheraton Westport Chalet Saint Louis,Are the rooms of this hotel reasonably comfortable?,1
30,Sheraton Westport Chalet Saint Louis,Are the rooms of this hotel reasonably comfortable?,1
51,Sheraton Westport Chalet Saint Louis,Are the rooms of this hotel reasonably comfortable?,1
23,Sheraton Westport Chalet Saint Louis,Are the rooms of this hotel reasonably comfortable?,1
67,Sheraton Westport Chalet Saint Louis,Are the rooms of this hotel reasonably comfortable?,1
34,Holiday Inn St Louis-South County Center,Are the rooms of this hotel reasonably comfortable?,1
8,Holiday Inn St Louis-South County Center,Are the rooms of this hotel reasonably comfortable?,1
28,Holiday Inn St Louis-South County Center,Are the rooms of this hotel reasonably comfortable?,1
127,Holiday Inn St Louis-South County Center,Are the rooms of this hotel reasonably comfortable?,1
560,Holiday Inn St Louis-South County Center,Are the rooms of this hotel reasonably comfortable?,1
7,Holiday Inn St Louis-South County Center,Are the rooms of this hotel reasonably comfortable?,1
34,Holiday Inn St Louis-South County Center,Are the rooms of this hotel reasonably comfortable?,1
67,Holiday Inn St Louis-South County Center,Are the rooms of this hotel reasonably comfortable?,1
558,Holiday Inn St Louis-South County Center,Are the rooms of this hotel reasonably comfortable?,1
13,Holiday Inn St Louis-South County Center,Are the rooms of this hotel reasonably comfortable?,1
